O	 D	 AMOEBA	 FlowValue
5	17	0	-0.456776058
100	145	0	0.051803637
122	21	0	-0.043160037
138	121	0	0.145030811
47	33	0	0.666685937
30	43	0	-0.690414007
55	33	0	0.659831799
148	50	0	-0.041549481
116	49	0	0.173111724
45	11	0	0.073226283
49	72	0	-0.687507657
31	72	0	0.07569858
96	45	0	0.34981574
149	29	0	0.087831618
136	62	0	1.10027867
124	32	0	0.291586674
144	46	0	-0.118736519
48	31	0	0.093301421
11	101	0	0.925041696
12	109	0	-6.92770101
125	31	0	0.166124213
143	31	0	-0.401711024
128	135	0	-0.251168368
19	37	0	-0.186226141
137	146	0	-1.038543461
122	109	0	0.013350885
52	91	0	-0.115462509
108	72	0	-0.080750246
55	62	0	0.667421766
23	17	0	0.071721464
84	33	0	0.353846198
31	49	0	-0.300192794
29	63	0	-0.155302261
35	50	0	-0.2902249
92	33	0	-1.380189588
149	38	0	-0.040789237
43	50	0	0.165531449
8	16	0	0.070206962
29	123	0	-0.059284944
50	32	0	0.126252821
89	75	0	-0.419257569
100	48	0	1.965366371
140	49	0	0.297377883
143	100	0	0.392230781
126	60	0	-1.005354177
112	51	0	0.194389118
134	100	0	0.197908101
34	72	0	-0.278322569
25	64	0	-0.147866084
64	37	0	-4.338171146
10	33	0	-6.137634778
84	40	0	-0.645391299
50	72	0	-0.06852288
149	47	0	0.027711759
43	43	0	0.950037754
45	142	0	0.868349327
29	116	0	0.297878379
53	126	0	0.32106514
36	26	0	-17.71971051
136	29	0	-2.969878797
78	110	0	12.97886094
27	130	0	0.878959367
145	51	0	0.173954829
19	51	0	-0.128834423
93	72	0	0.074823131
9	73	0	7.814123048
123	103	0	-0.134018744
35	83	0	0.345175229
96	49	0	0.196287312
32	21	0	0.667638384
13	77	0	0.021386695
14	101	0	-3.339660761
17	138	0	-0.532879652
146	101	0	0.389552203
75	73	0	1.24672631
149	40	0	0.007329286
63	45	0	0.935229147
29	77	0	-0.239292324
139	78	0	20.84129305
70	145	0	0.191113448
2	145	0	0.426845155
97	21	0	-0.637089155
79	109	0	0.955336672
26	27	0	3.340591803
64	79	0	6.650989895
123	143	0	0.049429684
135	33	0	1.037907451
112	33	0	0.341671252
112	73	0	0.0342417
148	103	0	0.344247499
61	120	0	-0.755212703
11	31	0	0.098361556
138	29	0	3.364405186
87	82	0	0.175755029
56	51	0	1.225648644
64	51	0	0.337035497
46	135	0	0.056599338
84	62	0	0.693227648
32	44	0	0.464731912
13	70	0	0.046105727
70	121	0	1.213827717
46	33	0	0.591493422
149	49	0	0.126746075
132	31	0	1.167884404
135	2	0	1.205321382
11	48	0	0.229113203
39	45	0	0.482738129
100	45	0	0.959291137
123	132	0	-0.157763973
107	6	0	-8.216047448
145	45	0	0.427321964
148	110	0	0.102566109
77	128	0	-0.859707635
150	131	0	0.262514348
145	146	0	0.246650159
9	123	0	-1.18076099
88	17	0	0.99115301
141	57	0	-0.306602081
