O	 D	 AMOEBA	 FlowValue
122	32	0	173.386184
16	66	0	176.0201836
145	31	0	32.47753288
136	145	0	110.8490762
27	31	0	3.142987053
88	31	0	-39.81116934
123	80	0	311.118601
95	123	0	72.82443988
132	101	0	-10.03520349
150	73	0	96.86689412
139	29	0	-206.7123639
32	49	0	143.1829571
71	112	0	202.5282274
146	73	0	107.6298824
40	17	0	25.78266503
39	75	0	44.28240365
116	145	0	41.56840358
99	123	0	42.01409993
100	75	0	339.498428
46	11	0	499.8529844
90	33	0	-161.0932119
145	135	0	65.38013098
97	49	0	10.22735408
136	138	0	-2251.567547
52	101	0	64.22530236
108	10	0	394.3872468
128	72	0	33.98207233
148	123	0	179.2601597
5	105	0	-44.12673197
149	122	0	219.0654332
27	20	0	96.5713458
138	49	0	79.26199413
139	133	0	-7.240500463
8	145	0	-8.313680716
146	49	0	-176.4218579
3	31	0	-31.42987053
132	108	0	300.7066607
8	82	0	-207.5924196
64	31	0	16.76259762
45	83	0	97.17354547
32	72	0	81.76936155
39	64	0	92.788587
150	77	0	1108.305545
8	33	0	-833.240751
48	72	0	31.85819281
144	118	0	95.90486238
145	120	0	56.05145524
58	17	0	-30.07977586
122	50	0	270.3658258
86	20	0	-3.714282531
123	137	0	12.25895823
73	33	0	-16.66481502
81	33	0	-38.88456838
63	145	0	-27.71226905
92	101	0	-36.12673258
123	17	0	12.89133251
91	72	0	33.98207233
146	40	0	-86.93762226
108	40	0	136.6162635
106	84	0	-18.50435469
82	64	0	249.3693276
46	131	0	102.64027
90	128	0	123.6603462
40	31	0	-20.95324702
46	21	0	51.55835116
11	85	0	-1227.825056
13	71	0	-528.7368477
144	109	0	-241.8897169
80	5	0	222.090613
81	137	0	61.29479117
33	145	0	16.62736143
149	56	0	0
21	56	0	-2772.211089
30	109	0	223.2828156
13	11	0	389.5912967
23	86	0	159.4006535
8	64	0	-75.39072694
124	15	0	-107.8341511
31	145	0	74.82312644
78	55	0	-57.36872601
139	126	0	-117.1508903
93	31	0	9.428961159
81	130	0	99.28021842
26	72	0	-14.86715665
138	91	0	1474.545953
23	11	0	220.5233755
52	114	0	403.4240617
148	16	0	64.44683136
141	79	0	1057.356979
55	116	0	470.4529416
2	10	0	93.40750581
82	50	0	-3.466228535
63	20	0	37.14282531
102	49	0	51.13677041
143	140	0	419.2403365
75	17	0	-6.445666256
115	134	0	563.6272545
80	100	0	19.25530123
26	32	0	86.69309201
63	101	0	30.10561048
46	39	0	411.8548294
68	112	0	-455.6885116
26	83	0	58.30412728
148	31	0	465.1620838
10	24	0	131.7494126
36	123	0	-28.00939995
141	72	0	7.433578323
55	77	0	-62.64335691
3	123	0	72.82443988
60	120	0	-119.1093424
63	29	0	165.3698911
28	17	0	-19.33699877
124	29	0	297.665804
71	77	0	-28.91231858
51	33	0	33.32963004
145	100	0	235.87744
112	17	0	-17.18844335
93	17	0	81.64510591
61	72	0	48.84922898
47	21	0	-21.48264632
108	101	0	136.4787675
128	43	0	126.3840812
19	121	0	68.85105704
148	38	0	311.0327769
45	31	0	62.85974106
29	132	0	-176.6680408
91	84	0	-320.742148
26	131	0	132.8285847
84	125	0	-83.32361225
34	49	0	15.34103112
101	49	0	107.3872179
8	36	0	445.3020632
100	29	0	181.9068802
46	49	0	181.5355349
144	73	0	32.28896471
145	93	0	454.1326067
19	17	0	333.0260899
137	126	0	-102.5070291
63	131	0	211.318203
19	126	0	43.93158388
148	45	0	454.6935473
84	21	0	73.04099748
123	50	0	83.18948485
87	40	0	-80.72779209
146	7	0	-439.3673111
39	133	0	246.1770158
25	20	0	22.28569518
136	49	0	40.90941632
28	103	0	150.0775401
104	48	0	241.5912812
50	52	0	564.8330059
107	45	0	-28.64211322
144	49	0	196.8765661
57	94	0	429.6824647
149	123	0	179.2601597
80	73	0	48.43344706
99	138	0	-218.5065552
46	56	0	278.3344467
144	64	0	-11.59857338
128	138	0	1168.535056
148	69	0	-362.8710356
78	91	0	-523.7458302
19	135	0	87.17350797
131	20	0	44.57139037
23	2	0	406.4096609
45	17	0	-12.89133251
49	86	0	1075.954411
87	33	0	83.3240751
74	91	0	354.5356389
95	33	0	83.3240751
134	146	0	83.42649292
135	32	0	144.4884867
121	17	0	-8.594221675
104	55	0	166.3693054
32	121	0	21.74243907
144	40	0	-285.6521874
110	109	0	-74.4276052
26	4	0	244.3434492
137	31	0	-31.42987053
19	31	0	97.43259864
147	82	0	142.0369187
97	121	0	155.8208133
78	133	0	14.48100093
100	146	0	800.894332
87	73	0	107.6298824
108	82	0	486.2032985
91	10	0	114.1647293
148	51	0	91.6517478
116	50	0	17.33114268
6	49	0	20.45470816
87	62	0	125.8619295
149	28	0	227.8942571
82	17	0	40.82255296
63	49	0	102.2735408
124	33	0	-11.10987668
146	136	0	-289.4014749
2	133	0	79.6455051
150	117	0	1955.070272
26	15	0	-736.866699
11	100	0	33.69677714
97	114	0	-63.03500964
137	145	0	-8.313680716
29	131	0	953.9507447
108	73	0	59.1964353
120	60	0	-382.0877273
50	78	0	38.84023071
141	101	0	44.15489537
146	112	0	995.7637846
40	72	0	27.61043377
8	17	0	8.594221675
63	62	0	-8.990137819
80	62	0	161.8224807
100	49	0	10.22735408
78	72	0	-5.309698802
12	101	0	-42.14785467
108	49	0	81.81883265
54	29	0	99.22193466
19	45	0	297.1619246
148	82	0	557.2217579
24	32	0	24.08141445
100	128	0	-218.4666117
108	64	0	-40.59500681
50	123	0	33.61127995
59	51	0	33.60564086
6	35	0	518.8644281
45	124	0	228.2844424
50	73	0	48.43344706
126	121	0	54.35609767
79	33	0	-22.21975336
8	24	0	-1789.596188
28	75	0	1608.927333
11	5	0	1369.55878
139	72	0	56.2828073
75	32	0	4.816282889
26	17	0	-27.93122044
137	50	0	-38.12851389
46	84	0	271.3972021
11	146	0	58.39854504
15	49	0	15.34103112
77	141	0	373.7541528
137	131	0	211.318203
109	71	0	-26.43684238
59	72	0	16.99103617
25	72	0	-183.7155786
79	133	0	-21.72150139
89	43	0	1137.456731
96	51	0	42.77081564
132	17	0	10.74277709
8	31	0	355.157537
100	80	0	64.81637521
63	44	0	-216.8288064
121	45	0	-10.74079246
68	32	0	-24.08141445
150	30	0	368.6330166
122	20	0	-33.42854278
140	32	0	52.97911178
52	130	0	49.64010921
64	133	0	-43.44300278
118	72	0	3.185819281
87	123	0	81.22725987
52	49	0	79.26199413
91	22	0	-377.3822253
96	91	0	-56.4033971
132	137	0	134.8485406
49	107	0	-182.7875095
80	20	0	-14.85713012
35	40	0	242.1833763
149	48	0	228.1695434
104	26	0	167.1067143
1	121	0	32.6136586
93	40	0	217.3440556
39	44	0	-173.4630451
45	128	0	-123.6603462
2	66	0	894.7692669
51	25	0	-49.14125654
145	44	0	101.1867763
19	64	0	-11.59857338
150	128	0	20.61005771
6	133	0	-202.734013
10	72	0	15.92909641
139	145	0	-13.85613453
35	64	0	46.3942935
54	145	0	69.28067263
96	82	0	-442.4996313
28	33	0	77.76913676
13	126	0	0
8	114	0	1122.023172
43	17	0	-38.67399754
63	82	0	-704.721635
28	80	0	375.9349762
85	33	0	49.99444506
53	72	0	43.53953018
93	33	0	61.10432174
150	40	0	298.0718477
75	33	0	-105.5438285
84	114	0	-239.5330366
137	37	0	235.9401141
46	105	0	353.0138558
27	45	0	211.235585
108	21	0	180.4542291
19	73	0	43.05195294
41	84	0	129.5304828
24	60	0	-25.47251516
141	49	0	25.5683852
23	77	0	221.6611091
82	84	0	-92.52177346
49	101	0	182.6407036
53	32	0	-81.87680912
113	128	0	-98.928277
4	49	0	268.4680446
100	77	0	-28.91231858
63	91	0	16.11525631
11	33	0	-238.8623486
71	11	0	132.3140253
1	75	0	369.0200304
2	123	0	-84.02819986
8	131	0	102.64027
118	34	0	1737.291336
122	33	0	172.2030885
19	78	0	116.5206921
150	146	0	125.1397394
13	31	0	99.52792334
74	31	0	-12.57194821
40	131	0	-84.52728118
139	28	0	-1481.312671
13	112	0	16.87735228
70	59	0	557.3339431
126	36	0	247.3900351
80	121	0	61.60357736
63	64	0	266.7671876
29	80	0	388.8982513
8	138	0	-66.50199506
122	40	0	149.0359239
17	76	0	29.25773136
145	23	0	1234.780611
128	73	0	16.14448235
