O	 D	 AMOEBA	 FlowValue
136	62	0	413.5463397
124	32	0	28.89769734
11	101	0	216.7603955
84	33	0	105.5438285
74	91	0	354.5356389
8	16	0	64.44683136
29	123	0	70.02349988
100	48	0	630.8216788
29	75	0	560.9104462
149	47	0	246.5309573
43	43	0	589.792379
45	142	0	1394.700139
29	116	0	365.9078435
78	110	0	708.4770823
27	130	0	322.6607099
9	73	0	500.478953
32	21	0	373.7980459
13	77	0	202.38623
146	101	0	46.16193607
75	73	0	53.81494118
139	78	0	815.6448449
2	145	0	335.3184555
78	113	0	1433.658604
79	109	0	46.51725325
26	27	0	967.6725683
136	55	0	504.8447889
123	143	0	36.90173069
135	33	0	99.98889012
19	80	0	187.9674881
148	103	0	516.9337491
138	29	0	1513.134504
32	44	0	260.1945677
149	49	0	434.6625485
132	31	0	860.1307902
11	48	0	53.68695139
39	45	0	307.9027171
100	45	0	307.9027171
145	45	0	390.2487926
150	131	0	132.8285847
11	73	0	263.6932118
88	17	0	32.22833128
46	142	0	369.185331
116	131	0	54.33896647
9	130	0	595.6813105
2	99	0	872.7454077
148	134	0	1315.130261
133	33	0	66.65926008
134	64	0	313.1614811
27	6	0	322.5751685
102	18	0	385.7466609
141	131	0	66.41429236
71	123	0	243.6817797
91	146	0	66.74119433
118	45	0	146.7908302
16	66	0	176.0201836
95	123	0	72.82443988
71	112	0	202.5282274
146	73	0	107.6298824
40	17	0	25.78266503
99	123	0	42.01409993
100	75	0	339.498428
46	11	0	499.8529844
27	103	0	266.8045157
108	10	0	394.3872468
148	123	0	179.2601597
11	17	0	36.52544212
8	145	0	27.71226905
146	49	0	288.9227528
132	108	0	300.7066607
23	64	0	57.99286688
8	82	0	54.62958411
64	31	0	16.76259762
45	83	0	226.7382728
150	77	0	1185.405061
8	33	0	449.9500055
122	50	0	270.3658258
123	17	0	55.86244088
82	64	0	249.3693276
90	128	0	123.6603462
40	31	0	24.09623407
147	40	0	86.93762226
80	5	0	222.090613
81	137	0	98.07166587
30	109	0	223.2828156
13	11	0	389.5912967
126	33	0	11.10987668
149	103	0	250.1292334
131	45	0	21.48158491
81	130	0	99.28021842
138	91	0	1474.545953
23	11	0	220.5233755
52	114	0	403.4240617
141	79	0	1057.356979
55	116	0	470.4529416
63	20	0	37.14282531
71	84	0	394.7595668
115	134	0	563.6272545
63	101	0	30.10561048
46	39	0	411.8548294
26	83	0	58.30412728
148	31	0	536.4031237
10	24	0	131.7494126
124	29	0	297.665804
51	33	0	33.32963004
145	100	0	235.87744
93	17	0	81.64510591
128	43	0	126.3840812
148	38	0	311.0327769
45	31	0	292.2977959
26	131	0	132.8285847
8	36	0	445.3020632
46	49	0	240.3428209
145	93	0	454.1326067
19	17	0	412.5226404
122	81	0	2113.367047
148	45	0	454.6935473
59	23	0	430.7374225
23	5	0	296.1208173
123	50	0	83.18948485
146	7	0	319.5398626
39	133	0	246.1770158
4	121	0	485.5811392
104	48	0	241.5912812
50	52	0	564.8330059
144	49	0	201.9902431
57	94	0	429.6824647
149	123	0	243.6817796
80	73	0	48.43344706
99	138	0	47.50142504
46	56	0	278.3344467
144	64	0	57.9928669
128	138	0	1168.535056
22	33	0	688.8123542
23	2	0	406.4096609
49	86	0	1075.954411
87	33	0	83.3240751
