O, D, AMOEBA, FlowValue
49, 72, 0, -647.4073976
31, 72, 0, 71.28330922
96, 45, 0, 97.70668453
149, 29, 0, 10.62244373
136, 62, 0, 122.3872973
124, 32, 0, 60.54184955
144, 46, 0, -7.42590065
48, 31, 0, 89.05676601
11, 101, 0, 460.898325
12, 109, 0, -744.6377985
125, 31, 0, 158.5665583
143, 31, 0, -383.4355828
128, 135, 0, -23.04997234
19, 37, 0, -8.682235155
137, 146, 0, -124.4860504
122, 109, 0, 1.435046564
52, 91, 0, -14.32959013
108, 72, 0, -76.04032672
55, 62, 0, 74.23932531
23, 17, 0, 33.38124933
84, 33, 0, 63.69939251
31, 49, 0, -117.4078034
29, 63, 0, -8.954883668
35, 50, 0, -83.72930316
92, 33, -4, -248.4617296
149, 38, 0, -2.753966893
43, 50, 0, 47.75549188
8, 16, 0, 3.268134059
29, 123, 0, -21.16608867
50, 32, -4, 26.21374689
89, 75, 0, -28.4034425
100, 48, 0, 146.4315869
140, 49, 0, 116.3068692
143, 100, 0, 81.48006135
126, 60, 0, -78.93638855
112, 51, 0, 63.62861251
134, 100, 0, 41.11243936
34, 72, 0, -262.0888481
25, 64, 0, -25.49728818
64, 37, 0, -202.2542152
10, 33, -4, -1104.897013
84, 40, 0, -103.9305878
50, 72, -4, -64.5261462
149, 47, 0, 0.786847684
43, 43, 0, 135.307227
45, 142, 0, 21.16861989
29, 116, 0, 11.39712467
53, 126, 0, 43.84979254
36, 26, -4, -1060.382916
136, 29, -4, -359.1801115
78, 110, 0, 1264.037225
27, 130, 0, 35.41327289
145, 51, 0, 56.93993822
19, 51, 0, -42.17085647
93, 72, 0, 70.45892245
9, 73, 0, 1452.035973
123, 103, 0, -8.036970062
35, 83, 0, 53.28228383
96, 49, 0, 76.76953785
32, 21, 6, 155.3901633
13, 77, 0, 4.438252589
14, 101, 0, -1663.972616
17, 138, 0, -56.09091215
146, 101, 0, 194.092827
75, 73, 0, 231.6691764
149, 40, 0, 1.180271525
63, 45, 0, 261.2179178
29, 77, 0, -49.65890034
139, 78, 0, 1073.180703
70, 145, 0, 68.96347891
2, 145, 0, 154.0275009
97, 21, 0, -148.2799526
78, 113, 0, 567.9007822
79, 109, 0, 102.6862729
26, 27, 0, 186.418385
64, 79, 0, 358.5415632
123, 143, 0, 1.33949501
135, 33, 0, 186.8440994
112, 33, 0, 61.50765876
112, 73, 0, 6.362861251
148, 103, 0, 20.64417828
61, 120, 0, -107.7884882
11, 31, 0, 93.88669583
138, 29, 0, 406.8945276
87, 82, 0, 32.17213378
56, 51, 0, 401.1866679
64, 51, 0, 110.320481
46, 135, 0, 5.194177846
84, 62, 0, 77.10979093
32, 44, 0, 64.2993779
13, 70, 0, 1.775301036
70, 121, 0, 334.965469
46, 33, 0, 106.4806458
149, 49, 0, 49.57140407
132, 31, 6, 1114.752671
135, 2, 0, 41.52091097
11, 48, 0, 17.07030833
39, 45, 0, 134.833104
100, 45, 0, 267.9386483
123, 132, 0, -5.357980042
107, 6, 0, -483.9334108
145, 45, 0, 119.3548705
148, 110, 0, 9.98911852
77, 128, 0, -208.5650723
150, 131, 0, 43.47946386
145, 146, 0, 29.56496792
9, 123, 0, -421.5588309
88, 17, 0, 461.3113544
141, 57, 0, -6.690977217
25, 91, 0, -262.2578213
28, 32, 0, 6.883710044
38, 73, 0, -150.5542278
149, 58, 0, 5.901357627
13, 56, 0, 0.887650518
116, 131, 0, 25.38951751
7, 44, 0, -97.73140965
135, 123, 0, 62.28136645
32, 146, 0, -7.144375323
1, 115, 0, 3.898453094
2, 99, 0, 26.73204561
148, 134, 0, 13.98476593
115, 77, 0, 31.7880121
133, 33, 0, 141.7979986
122, 25, 0, 8.610279382
51, 31, 0, 73.62866609
143, 120, 0, -62.30828221
32, 31, 0, 55.36890875
42, 109, 0, -1230.201445
81, 62, 0, 301.4128728
134, 64, 0, 170.7747481
27, 6, 0, 51.75786038
101, 51, 0, -726.1729829
91, 101, 0, -933.9454772
132, 126, 0, -18.65694847
136, 121, 0, -15.96356051
46, 145, 0, 5.843450077
102, 18, 0, 54.30761189
141, 131, 0, 36.80037469
71, 123, 0, 181.5040149
91, 146, 0, 78.64804019
8, 51, 0, -7.625646137
36, 62, 0, 88.365243
147, 21, 0, -51.96193417
21, 121, -7, -337.3534621
118, 45, 0, 367.2781998
122, 32, 0, 25.83083815
16, 66, 0, 311.4213791
145, 31, 0, 33.94496317
136, 145, 0, 106.4237368
27, 31, 0, 8.172293745
88, 31, 0, -1168.655431
123, 80, 0, 64.2957605
95, 123, 0, 204.3238061
132, 101, 0, -7.773728529
150, 73, 0, 35.57410679
139, 29, 0, -638.7980376
32, 49, 0, 100.0212545
71, 112, 0, 29.04064238
146, 73, 0, 168.7763713
40, 17, 0, 55.59029949
39, 75, 0, 6.855920544
116, 145, 0, 42.31586252
99, 123, 0, 70.071847
100, 75, 0, 71.65801059
46, 11, 0, 44.15051169
90, 33, 0, -130.9769526
145, 135, 0, 6.569992872
97, 49, 0, 59.31198102
136, 138, 0, -630.5606402
27, 103, 0, 43.58556664
122, 43, 0, -123.4140045
52, 101, 0, 50.94965378
108, 10, 0, 60.19859199
128, 72, 0, 105.3713021
148, 123, 0, 42.62023902
5, 105, 0, -18.48668035
149, 122, 0, 5.114509943
27, 20, 0, 70.82654579
138, 49, 0, 68.92748828
139, 133, 0, -25.5519215
8, 145, 0, -3.268134059
146, 49, 0, -582.278481
3, 31, 0, -234.5545809
132, 108, 0, 12.43796565
25, 46, 6, 258.6153516
8, 82, 0, -41.39636475
64, 31, 0, 147.0939747
45, 83, 0, 9.339097009
32, 72, 0, 137.529225
39, 64, 0, 36.56490957
150, 77, 6, 454.5580312
8, 33, -4, -163.4067029
48, 72, 0, 92.12768898
144, 118, 0, 1.48518013
145, 120, 0, 8.759990495
58, 17, 0, -212.4108633
122, 50, 0, 55.96681598
86, 20, 0, -209.4679514
123, 137, 0, 1.33949501
